id,name,verdict,services_proposed,autism_relevance,evidence_url,evidence_source_type,evidence_note,suspected_duplicate_id,verified_address,services_inferred,confidence,notes
8582,Children's Behavioral Intervention - Palm Springs,NEEDS_REVIEW,aba,Y,https://childrensbehavioralint.com/,PROVIDER_SITE,ABA provider; tagline names autism as its focus; two offices listed,6563,"1601 Belvedere Rd, E300, West Palm Beach, FL 33406",,HIGH,"Confirmed duplicate of id 6563 - the provider's own site lists this exact suite (1601 Belvedere Rd E300) as its West Palm Beach office, the same street address on record 6563. Same org, same address, so one record must be retired. This record's city label 'Palm Springs' is wrong per the provider site; 6563's 'West Palm Beach' matches. Service content is correct for the resources table: ABA in home, school and community settings, plus FBAs, assessment, treatment planning, supervision, data collection. Site states no speech or OT, so aba is the only slug. The provider's second office (1665 W 68th St #208, Hialeah) is a different street address and would be a separate legitimate record, not a duplicate."
8587,Ellie Mental Health - Hollywood,DELETE,,N,https://elliementalhealth.com/locations/pembroke-pines-fl/,PROVIDER_SITE,General counseling franchise; no autism or developmental services listed,,"9050 Pines Blvd Suite 305, Pembroke Pines, FL 33024",,MEDIUM,"Generic outpatient counseling franchise. Site lists individual, couples, family and online therapy, medication management, psychological evaluation and testing, CBT/DBT/EMDR/play therapy. ADD/ADHD appears as a visit reason but autism, neurodivergence and developmental disability are never mentioned, and no testing type is specified. None of these map to a valid service slug, so the record would sit in resources with an empty services array - the red flag the rules call out. Recommend delete unless the owner phones them and confirms autism evaluation. NOT a duplicate of 9562: USA Sports Medicine is at 9050 Pines Blvd Suite 102 and Ellie is Suite 305 - two unrelated tenants in the same building, so suspected_duplicate_id is left empty. Also note the record's city is wrong: 9050 Pines Blvd is the Pembroke Pines office. Ellie does operate a real, separate Hollywood office at 4601 Sheridan St Suite 400, Hollywood 33021, but that is a different address and this record is not it."
8589,Dr. Tripp & Associates - Port Saint Lucie,DELETE,,N,https://www.drtrippandassociates.com/contact,PROVIDER_SITE,Multi-site counseling network; no autism or developmental services on site,,"540 NW University Blvd Suite 204, Port St. Lucie, FL 34986",,MEDIUM,"Site is live and the Port St. Lucie address matches the record exactly. Offering is a therapist-matching network of 40+ clinicians providing individual, couples, family, teen, trauma-informed and online therapy for stress, anxiety and depression. No autism, developmental disability, ADHD testing, psychological/ADOS testing, ABA, speech or OT anywhere on the homepage, get-matched or contact pages (the /therapy page returned a server error but the other pages consistently describe general mental-health counseling). Psychotherapy/counseling has no valid service slug, so this record can only sit in resources with an empty services array. Delete as a generic counseling practice with no autism or special-needs focus. Incidental observation, no action needed: their West Palm Beach office (1601 Belvedere Rd E-300) is the same building as Children's Behavioral Intervention - unrelated tenants, not a duplicate."
8596,FIRST WORDS Project - Bldg. A,KEEP_BACKFILL,parent-coaching,Y,https://firstwordsproject.com/screen-my-child/,PROVIDER_SITE,Free autism and communication screening for babies plus parent courses,,"Edgewater Office Park, Building A, 2312 Killearn Center Blvd., Tallahassee, FL 32309",parent-coaching,MEDIUM,"ADDRESS FIX NEEDED: the record's city field ('Bldg. A') and address field ('Edgewater Office Park') are garbled fragments; the real address on the site is 2312 Killearn Center Blvd, Building A, Tallahassee, FL 32309. Confirmed FSU affiliation - footer reads 'Florida State University & Autism Navigator, LLC.' Autism relevance is explicit: early detection of autism spectrum disorder is a stated core goal, and they run the free Smart ESAC (Smart Early Screening for Autism and Communication Disorders) for children 9-18 months, with rescreening every 3-6 months, a parent portal, growth charts, and Autism Navigator courses routed to families whose child screens with autism risk indicators. Caveat for the owner: this is a research project and online screening/parent-education platform, not a walk-in clinic - no in-person evaluations, ABA, or speech therapy are offered, and the screening is online rather than ADOS testing, so no ados-testing slug. parent-coaching is a read of the Autism Navigator parent courses rather than a phrase the site uses, hence marked inferred. Belongs in resources as a support organization; consider noting on the listing that services are virtual and statewide."
8597,"Leslie Danner, EdS, LSP - 1555 Matthew Dr",NEEDS_REVIEW,ados-testing|group-therapy|parent-coaching|virtual-therapy,Y,https://www.gulfshorebh.com/,PROVIDER_SITE,Danner listed on Gulfshore psychologist roster; practice does autism testing,5791,"1555 Matthew Drive, Fort Myers, FL 33907",ados-testing,HIGH,"Confirmed duplicate of id 5791 (Gulfshore Behavioral Health, 1555 Matthew Dr) - same organization, same street address verified on gulfshorebh.com/location. Leslie Danner, EdS, LSP appears on the practice's own Psychologists staff roster, so this is an individual clinician record for a group practice already in the directory. Owner should keep the practice record (5791) and remove the clinician record. The services listed here are the PRACTICE's services, offered in case 5791 is the record that gets backfilled: the site lists autism testing, ADHD/psychoeducational/neurodevelopmental evaluations, individual/group/couples therapy, parenting support, medication management, and in-person plus telemedicine visits. ados-testing is inferred - the site says 'autism testing' without naming ADOS."
8599,Kris Parker and Associates - Port Saint Lucie,DELETE,,N,https://www.krisparkerandassociates.com/services-provided,PROVIDER_SITE,"Counseling practice only; no autism, developmental, or therapy services listed",,,,MEDIUM,"Site is live and its Services Provided page lists only psychotherapy: depression/anxiety therapy, couples counseling, grief, trauma recovery, career and stress issues, self-esteem, plus a counselor intern offering child/adolescent mental health and behavioral/conduct-disorder counseling and family psychoeducation. No ABA, speech, OT, PT, autism testing, or any developmental-disability specialization anywhere on the site. No valid service slug applies (there is no counseling/psychotherapy slug), which leaves an empty services array - a red flag confirming this is a generic mental-health counseling practice that does not belong in resources. Contact page was blocked by robots.txt so no address could be confirmed from their own site; the record's 1950 SE Port St Lucie Blvd remains unverified."
8603,"Maximum Achievers, LLC - Palm Springs",NEEDS_REVIEW,aba,Y,https://maximumachieversllc.com/contact-us,BOTH,Site resolves but renders empty; own page titles state ABA therapy,7045,,,MEDIUM,"Duplicate of id 7045 (Maximum Achievers, LLC - West Palm Beach): identical street address 1495 Forest Hill Blvd. This is one location double-listed under two city names - 1495 Forest Hill Blvd carries a West Palm Beach mailing address (33406) even though it sits at the Palm Springs boundary, which is how the split happened. Owner should keep one record. The provider's own site (maximumachieversllc.com, including /contact-us, /refer-a-patient, /aba-therapy) is a JavaScript app that returns an empty document body, so no service list or address could be read directly; only their own page titles ('ABA Therapy in Florida', 'Aba, Therapy West Palm Beach, Behavior Therapy') confirm ABA. Address corroborated by a third-party listing, address only. Recommend a manual visit in a browser to backfill full services before deciding which record survives."
10360,Quest Kids Therapy - Winter Garden,NEEDS_REVIEW,aba|life-skills|parent-coaching|support-groups,Y,https://questinc.org/quest-kids-therapy/,PROVIDER_SITE,Provider now lists only Orlando and Lake Mary centers; Winter Garden absent,,,,MEDIUM,"The organization is unambiguously autism-relevant and correctly belongs in resources - Quest Kids Therapy provides center-, home-, school- and community-based ABA for children and teens with autism and other developmental disabilities, covering early intervention, communication, social skills, motor skills, toileting/hygiene, daily living and life skills, plus parent training and support groups (per their own grand-opening post at questinc.org/blog/qkwg-grand-opening/). The problem is this specific location: the live Quest Kids Therapy page states 'two conveniently located centers in Central Florida' and names only Orlando and Lake Mary. Winter Garden appears on that page only as a funder ('City of Winter Garden', 'Foundation for a Healthier West Orange'), not as a center. The Winter Garden site opened in 2023 in the Healthy West Orange building and no address is published anywhere on their current site. Likely closed or consolidated - call to confirm before deleting; if the location is gone, delete this record rather than backfilling it."
10401,Early Steps - Jacksonville,KEEP_BACKFILL,mobile-services,Y,https://pediatrics.med.jax.ufl.edu/patient-care/early-steps-program/contact-us/,PROVIDER_SITE,UF Jacksonville runs Northeastern Early Steps at the record address,,"910 N. Jefferson St., Jacksonville, FL 32209",mobile-services,MEDIUM,"Correctly placed in resources as an evaluation and early-intervention entry point, not a daycare. Early Steps is Florida's IDEA Part C program for infants and toddlers birth to 36 months with developmental delays, disabilities, or at-risk conditions, at no cost; the state site carries a parent testimonial about a son diagnosed with autism receiving services, so relevance is Y. The Jacksonville local program is Northeastern Early Steps, operated by UF College of Medicine Jacksonville, whose contact page lists 910 N. Jefferson St. as the program address (matching this record) alongside a second physical office at 653-1 West 8th Street, L16 - worth confirming which one families should visit. mobile-services is inferred from the statement that services are delivered in the child's natural environments (home, childcare, community). Neither the state site nor the UF page enumerates therapy disciplines, so speech-therapy, occupational-therapy and physical-therapy could not be confirmed and were not proposed - a phone call would let you backfill those properly. Also note the record's website field points to the statewide floridaearlysteps.com rather than the local Jacksonville program page; consider updating it. Compare with record 8572, the Broward Early Steps program, which does publish its therapy disciplines."
10556,St. John the Evangelist Catholic Community,MOVE_CHURCHES,,Y,https://www.stjohnviera.org/sensory-friendly,PROVIDER_SITE,Parish runs monthly sensory-friendly Mass for autism and disability community,,"5655 Stadium Parkway, Viera, FL 32940",,HIGH,"This is a Catholic parish, not a clinical provider - it belongs in the churches table, not resources. Its own sensory ministry page describes a monthly Sensory-Friendly Mass at 1:00 PM in Holy Cross Hall with softer acoustics, dimmed lights, flexible seating, and a shortened format with fewer transitions, explicitly welcoming people with autism, Down syndrome, intellectual and developmental disabilities, sensory sensitivities, and elderly parishioners. Coordinator contact is published on that page. Two data corrections when moving: the URL in the record (/sensory-friendly-mass) 404s - the working page is /sensory-friendly; and the street number is 5655 Stadium Parkway, not 5645. The parish states its city as Viera, FL 32940, not Melbourne. No therapy services are offered, so services_proposed is correctly empty."
