title,date,end_date,time,venue_name,address,city,county,state,zip_code,organizer_name,organizer_email,organizer_phone,website_url,registration_url,cost,is_free,event_type,category,age_groups,is_recurring,recurrence_pattern,sensory_accommodations,ceu_available,description,source_url,confidence,notes
Special Olympics Florida Coaches Training School - Key Largo,2026-09-12,,10:00 AM,Key Largo School,104801 Overseas Highway,Key Largo,Monroe,FL,33037,Special Olympics Florida,,,https://www.specialolympicsflorida.org/events,,,,training,professional-training,Adults,N,,,,"Special Olympics Florida runs a certification training day for coaches and volunteers who work with athletes who have intellectual and developmental disabilities. Three sport-specific tracks are offered the same day at Key Largo School: powerlifting, cornhole and flag football. Training covers sport rules, athlete safety and coaching technique.",https://www.specialolympicsflorida.org/events,HIGH,"Date, time, venue and address came from Special Olympics Florida's own events listing, which shows three separate Coaches Training School entries (Powerlifting, Cornhole, Flag Football) all at Key Largo School on September 12, 2026 at 10:00 AM. Combined into one row because they are the same training day at the same site; splitting them would inflate the count. Cost and registration link are not published."
Special Olympics Florida Area 7 Fall Classic Exhibition,2026-09-13,,9:00 AM - 3:00 PM,Veterans Community Park,1895 Veterans Park Dr.,Naples,Collier,FL,,Special Olympics Florida,,239-470-2241,https://specialolympicsflorida.org/events/,,,,recreation,disability-general,,N,,,,"Area 7 fall sports exhibition for Special Olympics Florida athletes with intellectual and developmental disabilities, held at a Collier County park. Athletes showcase fall-season sports across a full day. Local contact is Chad Weber.",https://specialolympicsflorida.org/events/,MEDIUM,"Date, time, venue and contact came from the expandable 'Info' block on Special Olympics Florida's own upcoming-events calendar. Same year caveat as the St. Petersburg swim meet - calendar rows print month/day without a year. Not a STARability Foundation event. Weekday cross-check supports 2026: the same calendar's multi-day state events (Aug 21-22, Sep 18-19, Sep 25-26, Nov 13-14) all fall Fri-Sat in 2026 but Thu-Fri in 2025, and the page separately advertises '2027 Walt Disney World Marathon Weekend' as an upcoming fundraiser."
Sensory Day at WonderWorks Panama City Beach,2026-09-13,,10:00 AM - 12:00 PM,WonderWorks Panama City Beach,9910 Front Beach Rd,Panama City Beach,Bay,FL,32407,WonderWorks Panama City Beach,,(850) 249-7000,https://www.wonderworksonline.com/panama-city-beach/sensory-nights/,,$12 per person,N,sensory-friendly-session,sensory-friendly,All ages,Y,Held periodically throughout the year; no fixed pattern published,"Music lowered, loud exhibits turned off, inversion tunnel shut down, reduced-stimulation environment",,"WonderWorks Panama City Beach opens early for a reduced-stimulation morning aimed at children with sensory sensitivities and their families. Staff turn the music down, shut off the loudest exhibits and stop the inversion tunnel so guests can explore the science attraction at their own pace. Admission is a discounted flat rate for the session.",https://www.wonderworksonline.com/panama-city-beach/sensory-nights/,HIGH,"Date came from body copy on WonderWorks' own Sensory Days page for the Panama City Beach location, which prints 'Sunday, September 13, 2026 from 10:00 a.m. to noon' - the year is stated explicitly and September 13, 2026 is in fact a Sunday. The page says the program runs throughout the year but publishes only this one specific date, so recurrence_pattern is left descriptive rather than concrete. Street address, zip and phone taken from the same site's location-info page, not the event page. No registration URL is published; the page directs guests to pay the $12 admission at the door."
Just for Dads Support Group (Coral Gables),2026-09-15,,6:30 PM,"UM-NSU CARD Coral Gables Office, 5th Floor Room 502",5665 Ponce de Leon Blvd.,Coral Gables,Miami-Dade,FL,33146,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),malessandri@miami.edu,305-284-6563,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (fathers/male caregivers),Y,"Monthly, 6:30 pm, at the CARD Coral Gables office",,,"A monthly in-person evening group for fathers of children on the autism spectrum, hosted at UM-NSU CARD's Coral Gables office and led by CARD's executive director. It gives dads in Miami-Dade a dedicated space to connect and share resources.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Published dates: Sep 15, Oct 20, Nov 17 and Dec 15, 2026. Earliest in window is Sep 15, 2026. Other in-window dates: 2026-10-20, 2026-11-17. This is a SEPARATE group from the Just for Dads group at the NSU/Davie office (different city, different facilitator, different dates) and both are returned. Registration is by contacting Dr. Michael Alessandri at malessandri@miami.edu -- no registration page published. Cost not stated."
Social GAAIN (Group for Adults with Autism to Interact and Network),2026-09-15,,6:30 PM - 8:00 PM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),mxh1833@miami.edu,305-284-6563,https://www.card.miami.edu/adult_services/groups-activities/,,,,social,autism-specific,Adults 18+ (out of high school),Y,"Monthly, 6:30-8:00 pm, alternating virtual and in-person at the Coral Gables office",,,"A monthly social group that brings autistic adults together around a themed activity. The fall line-up runs Kahoot! trivia on Zoom in September, costume karaoke in person at the Coral Gables office in October, and a virtual no-bake dessert session in November. A phone screening is required and participants must be registered CARD constituents.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Published dates and formats: Sep 15, 2026 (virtual, Kahoot! trivia); Oct 27, 2026 (in person, CARD Coral Gables office, costume karaoke); Nov 17, 2026 (virtual, no-bake desserts); Dec 8, 2026 (community outing, holiday potluck). Earliest in window is Sep 15, 2026, which is a VIRTUAL session, so venue is listed as virtual and city is the CARD main office city. Other in-window dates: 2026-10-27 (in person, 5665 Ponce de Leon Blvd, Coral Gables) and 2026-11-17 (virtual). Registration is by contacting Maria Henao at mxh1833@miami.edu with a screening -- no registration page published. The card.miami.edu Groups & Activities page describes the group but publishes no dates; all dates come from the PDF. Cost not stated."
Support Group for Parents & Family Members of Teens with High Support Needs,2026-09-16,,12:00 PM - 1:00 PM ET,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),dadreon@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/parents-family-members-of-teens-with-high-support-needs-registration-1994159025326,,,support-group,caregiver-training,Adults (parents and family members of teens),Y,"Monthly on Wednesdays, 12:00-1:00 pm, via Zoom",,,"A monthly midday Zoom group for parents and family members of autistic teenagers who are non-speaking or minimally verbal and may need constant supervision. Families use it to compare approaches to supervision, school supports, and planning ahead. The teen must be a registered CARD client.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND are confirmed on the organizer's own Eventbrite listing, which I loaded: Aug 5, Sep 16, Oct 7 and Nov 4, 2026, Wednesdays. Earliest on/after 2026-08-20 is Sep 16, 2026. Other in-window dates: 2026-10-07, 2026-11-04. FLAG: the Eventbrite listing shows 12:00 PM for the August session and 1:00 PM for the November session, so the start time may vary by date; the PDF lists 12:00-1:00 pm throughout and that is what I recorded. Short link TeensHighSupport2026.eventbrite.com 302-redirects to the URL given here. Cost not stated. This is a separate series from the adults-with-high-support-needs group, which is also returned."
Collaborations and Professional Practice,2026-09-17,,12:00 PM - 1:00 PM EDT,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),jxl2791@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/collaborations-and-professional-practice-registration-1997715517891,,,training,professional-training,Adults (educators and school-based professionals),N,,,,A one-hour virtual training for educators and other professionals who support autistic students in schools. It examines what makes interprofessional collaboration work and offers strategies for strengthening school-based partnerships to improve student outcomes.,https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Date appears in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND is confirmed on the organizer's own Eventbrite registration listing, which I loaded: Thursday, September 17, 2026, 12:00-1:00 PM EDT. Single-date event, not a series. Short link CollabProfessionalPractice2026.eventbrite.com 302-redirects to the URL given here. Neither page mentions CEUs, so ceu_available is left empty even though the audience is professional. Cost not stated on either page."
Art Academy for Autism (Ages 5-9),2026-09-19,,10:30 AM - 11:30 AM,Pensacola Museum of Art,407 S Jefferson St.,Pensacola,Escambia,FL,32502,Pensacola Museum of Art (UWF Historic Trust),PMA@UWF.EDU,(850) 432-6247,https://pensacolamuseum.org/learn-engage/semesterprograms/,https://ecom.roller.app/uwfhistorictrust/artacademyforautism/en-us/home,Free,Y,workshop,autism-specific,Ages 5-9 (parallel sessions for ages 10-15 at 12:30-2:00 pm and ages 16+ at 2:30-4:00 pm),Y,Monthly on a Saturday; 2026 program dates published by the museum,,,"A free monthly studio art class for children and young adults on the autism spectrum, run by the Pensacola Museum of Art. Sessions are capped at eight students per group and focus on self-expression, abstract thinking and social connection in a supportive small-group setting. Pre-registration is required for each session.",https://pensacolamuseum.org/learn-engage/semesterprograms/,HIGH,"Date taken from the 'Art Academy for Autism' block on the museum's own Semester Programs page, under a heading explicitly labeled '2026 Program Dates', which lists: January 17, February 21, March 21, April 18, May 16, June 20, July 18, August 15, September 19, October 17, November 21, December 5 or 19. Next in-window date is 2026-09-19; October 17, 2026 also falls in window. November 21, 2026 is outside the window. CAUTION: the museum also hosts standalone /event/ pages for this program that still show stale 2024 and 2025 date lists (e.g. 'September 20, October 18, November 15, December 6') - those were disregarded in favor of the Semester Programs page, which is the one carrying the 2026 heading. Registration portal is a JavaScript-only Roller checkout so session-level availability could not be read."
Adult Support Group,2026-09-22,,6:30 PM,UM-NSU CARD Coral Gables Office,5665 Ponce de Leon Blvd.,Coral Gables,Miami-Dade,FL,33146,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),jfeinstein@miami.edu,305-284-3734,https://www.card.miami.edu/adult_services/groups-activities/,,,,support-group,autism-specific,Adults 18+ (out of high school),Y,"Monthly at 6:30 pm, alternating in-person at the Coral Gables office and on Zoom",,,"A monthly peer support group that brings autistic adults together to talk through shared experiences. Sessions alternate between the CARD Coral Gables office and Zoom. Participants must be registered with CARD, be 18 or older and out of high school, and complete a phone screening.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Published dates and formats: Sep 22, 2026 (in person); Oct 27, 2026 (Zoom); Nov 10, 2026 (in person); Dec 15, 2026 (Zoom). Earliest in window is Sep 22, 2026, an in-person session, so the Coral Gables office is recorded as the venue. Other in-window dates: 2026-10-27 (Zoom) and 2026-11-10 (in person). Eligibility criteria come from the card.miami.edu Groups & Activities page, which I also loaded but which publishes no dates. Registration is by contacting Jennifer Feinstein at 305-284-3734 / jfeinstein@miami.edu -- no registration page published. Cost not stated."
Miracle Sports Fall Kickball Season,2026-09-24,,Youth 6:00 PM - 7:00 PM; Adults 7:00 PM - 8:00 PM,Miracle Field at Messer Park (James Messer Sports Complex),2899 Jackson Bluff Road,Tallahassee,Leon,FL,32304,Florida Disabled Outdoors Association / SportsAbility Alliance,,(850) 201-2944,https://www.sportsability.org/miracle-sports,https://fdoa.memberclicks.net/miraclesports2627,"$30/year for the first athlete in the family, $10/year for each additional family member",N,recreation,disability-general,Ages 5 through adult,Y,Thursday nights through the fall season,,,"Miracle Sports runs an adaptive kickball league on Tallahassee's barrier-free Miracle Field, with youth and adult divisions grouped by age and skill. Athletes with any disability play alongside volunteer buddies on a rubberized, wheelchair-accessible surface. The annual membership fee covers the fall kickball, spring baseball and summer tennis/pickleball seasons, and scholarships are offered if cost is a barrier.",https://www.sportsability.org/miracle-sports,HIGH,"Season start date came from body copy on the organization's own Miracle Sports program page (same text mirrored at fdoa.org/miracle-sports), which prints 'Kickball (Fall) - Thursday Nights beginning on September 24, 2026'. September 24, 2026 is indeed a Thursday. Only the season START date is published; the organization's 2025 newsletter shows a comparable season running Thursdays into mid-November, but no 2026 end date is printed, so end_date is left empty. The MemberClicks registration URL for the 2026-27 membership year resolves. Address given as the James Messer Sports Complex on Jackson Bluff Road; note FDOA's 2025 newsletter cited a Dupree Street address for the same complex."
Loveland Center Art Exhibition Open House,2026-09-24,,5:30 PM - 7:30 PM,Loveland Center - Building E,157 S Havana Rd,Venice,Sarasota,FL,34292,Loveland Center,JJames@lovelandcenter.org,,https://lovelandcenter.org/event/art-exhibition-open-house/,,,,social,disability-general,All ages,N,,,,Evening open house at Loveland Center's Venice campus showing artwork produced through the organization's art programming for adults with intellectual and developmental disabilities. The page states the event is open to the public and everyone is welcome. Contact is Jillian James.,https://lovelandcenter.org/event/art-exhibition-open-house/,HIGH,"Date, time, Building E venue and organizer email printed in the body of Loveland Center's own event detail page. The page credits 'artists of our community' without naming them; Loveland's About page describes 'Loveland Creates,' its art and theatre program - the link between the two is inferred, not stated on the event page. Zip 34292 taken from the venue address printed on the Loveland events index for the same 157 S. Havana Rd campus."
Special Olympics Florida State Swimming Competition,2026-09-25,2026-09-26,,Florida Aquatics Swimming and Training (FAST),4635 SW 67th Ave,Ocala,Marion,FL,,Special Olympics Florida,,352-933-3720,https://www.specialolympicsflorida.org/events,,Free,Y,recreation,disability-general,Ages 8 and up,N,,,,Special Olympics Florida holds its statewide swimming championship over two days at the FAST aquatics complex in Ocala. Athletes with intellectual disabilities who advanced through regional meets compete across stroke and distance events in age and ability divisions. The meet is open to spectators and relies heavily on community volunteers.,https://www.specialolympicsflorida.org/events,HIGH,"Date range, venue and contact came from Special Olympics Florida's own statewide Events listing page, which the fetch confirms is displaying 2026. The row reads 'Sep 25 - Sep 26 | State Swimming Competition | Florida Aquatics Swimming Training, 4635 SW 67th Ave, Ocala | Contact: BJ Mealy, 352-933-3720'. CAVEAT: the row does not repeat the year, and no start time is printed, so time is left blank. No zip on the listing so zip_code left blank. Athlete entry is through county programs rather than a public registration URL. 'Free' reflects standard Special Olympics practice and is NOT printed on the page - verify before publishing."
Body-Double Crew - A Time to Connect and Complete Tasks,2026-09-28,,6:00 PM - 7:00 PM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),card@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/body-double-crew-a-time-to-connect-and-complete-tasks-registration-1996169051368,,,social,autism-specific,Adults 18+ (out of high school),Y,"Roughly every other month, 6:00-7:00 pm, via Zoom",,,A structured virtual body-doubling session where autistic adults work on their own tasks together on Zoom. The shared presence is used as a motivation and accountability tool while also cutting down isolation. Open to registered CARD members 18 and older who are out of high school.,https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND are confirmed on the organizer's own Eventbrite listing, which I loaded: September 28 and November 16, 2026, 6:00-7:00 pm. Both fall in the window; earliest is Sep 28, 2026, other in-window date 2026-11-16. Only two dates are published, so the recurrence wording reflects that rather than a stated monthly pattern -- the organizer does not print a recurrence rule for this series. Short link BodyDoubleCrewFall26.eventbrite.com 302-redirects to the URL given here. Cost not stated."
Connect Four Support Group,2026-09-28,,9:30 AM - 10:30 AM,NSU CARD Satellite Office,7600 SW 36th Street,Davie,Broward,FL,33328,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),card@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/connect-four-support-group-registration-1996996781130,,,support-group,caregiver-training,Adults (parents and family members of children of any age),Y,"Monthly, 9:30-10:30 am, alternating in-person at the NSU CARD Davie office and virtual",,,"A monthly morning support group for parents and family members centered on casual conversation about social understanding in autism. Sessions alternate between UM-NSU CARD's Davie office and a virtual format, and are open to caregivers of children of any age.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND the series is confirmed on the organizer's own Eventbrite listing, which I loaded and which shows dates running Sep 28 through Dec 7, 2026, 9:30-10:30 am at the NSU CARD Satellite Office, Davie. PDF published dates and formats: Sep 28, 2026 (in person); Oct 26, 2026 (virtual); Dec 7, 2026 (in person). Earliest in window is Sep 28, 2026, in person, so the Davie office is recorded as venue. Other in-window date: 2026-10-26 (virtual). FLAG: the Eventbrite venue block appends 'Fort Lauderdale, FL' to the Davie street address; the street address and ZIP are Davie and that is what I recorded. Short link Connect4Fall2026.eventbrite.com 302-redirects to the URL given here. Cost not stated."
Virtual Parents and Family Members of Adults Striving for Independence Support Group,2026-09-29,,7:00 PM - 8:00 PM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),dadreon@miami.edu,305-284-6563,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (parents and family members of autistic adults),Y,"Monthly, 7:00-8:00 pm, via Zoom",,,"A monthly evening Zoom group for parents and family members of autistic adults who are working toward greater independence. Families exchange ideas on independent living skills, employment, and navigating adult services.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Published dates: Aug 18, Sep 29, Oct 20 and Nov 17, 2026. Earliest on/after 2026-08-20 is Sep 29, 2026. Other in-window dates: 2026-10-20, 2026-11-17. RSVP is by emailing Dr. Diane Adreon at dadreon@miami.edu for the Zoom link -- no registration page published, so registration_url empty. Virtual event, so `city` is the CARD main office city. This is the ADULTS series; the parallel TEENS series is returned as its own row. Cost not stated."
Parents of Teens Striving for Independence,2026-09-30,,12:00 PM - 1:00 PM ET,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),card@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/parents-of-teens-striving-for-independence-registration-1994095707942,,,support-group,caregiver-training,Adults (parents of autistic teens),Y,"Monthly, 12:00-1:00 pm, via Zoom",,,"A monthly Zoom group for parents weighing postsecondary options for their autistic teen, including certificate programs, technical schools, and college. Sessions also cover building independent living and employment skills. The teen must be a registered CARD client.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND are confirmed on the organizer's own Eventbrite listing, which I loaded: Aug 19, Sep 30, Oct 21 and Nov 18, 2026. Earliest on/after 2026-08-20 is Sep 30, 2026. Other in-window dates: 2026-10-21 and 2026-11-18 (Nov 18 is the final day of the window). FLAG: Eventbrite shows 12:00 PM for the August session but 1:00 PM for the November 18 session, so the start time may shift on that last date; the PDF lists 12:00-1:00 pm and that is what I recorded. Short link PTSIFall2026.eventbrite.com 302-redirects to the URL given here. Cost not stated."
Grupo de Apoyo Virtual Para Madres,2026-10-02,,12:00 PM - 1:00 PM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),s.garcia14@miami.edu,954-262-7719,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (mothers),N,,,,A Spanish-language virtual support session on Zoom for mothers of children with an autism diagnosis. It gives moms who cannot attend the in-person Davie group a midday option to connect and share resources in their first language.,https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Date from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Only ONE date is published for the virtual version of this group: October 2, 2026, 12:00-1:00 pm, so is_recurring is set to N and recurrence_pattern is left empty rather than inferring a monthly rule. This is distinct from the in-person Grupo de Apoyo Para Madres in Davie, which has its own dates and is returned separately. Registration is by contacting Stephanie Garcia at 954-262-7719 / s.garcia14@miami.edu -- no registration page published. Virtual event, so `city` is the CARD main office city. Cost not stated."
Murder and Mai-Tais at Loveland Performing Arts Theatre,2026-10-09,2026-10-18,3:00 PM - 4:30 PM (Fridays); 1:00 PM - 2:30 PM (Saturdays and Sundays),Loveland Performing Arts Theatre,157 S. Havana Rd,Venice,Sarasota,FL,34292,Loveland Center,,,https://lovelandcenter.org/event/murder-and-mai-tais-friday-october-9th-3pm/,https://lovelandcenter.square.site/product/murder-and-mai-tais-friday-october-9th-3pm/UKIS4PPN3SIQSWDP6NQ6X3YW?cp=true&sa=false&sbp=false&q=true,,N,social,disability-general,,Y,"Six performances over two weekends - Fridays at 3pm, Saturdays and Sundays at 1pm",,,"Interactive whodunit stage production staged at Loveland Center's own theatre in Venice, presented by the nonprofit that serves adults with intellectual and developmental disabilities across Manatee through Lee counties. The comedy follows three finalists in a Mai Tai recipe contest at a resort after the host is poisoned. Tickets are sold through Loveland's Square store.",https://lovelandcenter.org/event/murder-and-mai-tais-friday-october-9th-3pm/,HIGH,"Date, time, venue address and ticket link came from Loveland Center's own event detail page for the Oct 9 performance. Other published performance dates in the same run, each with its own detail page: Oct 10 (1pm), Oct 11 (1pm), Oct 16 (3pm), Oct 17 (1pm), Oct 18 (1pm). UNCERTAIN: neither the event page nor the About page states that the performers are individuals with IDD - Loveland's About page describes 'Loveland Creates,' a specialized art and theatre program, but does not tie it to this production. Ticket price not printed on the event page."
Sensory Saturdays at NSU Art Museum Fort Lauderdale,2026-10-10,,9:30 AM - 10:30 AM,NSU Art Museum Fort Lauderdale,One East Las Olas Boulevard,Fort Lauderdale,Broward,FL,33301,NSU Art Museum Fort Lauderdale,education1@nova.edu,954-262-0204,https://nsuartmuseum.org/sensory-saturdays/,https://nsuartmuseum.org/events/,Free with required RSVP,Y,sensory-friendly-session,sensory-friendly,Children on the autism spectrum ages 6-17 and their families,Y,Periodic Saturday mornings; the museum does not print a fixed pattern beyond 'stay tuned for upcoming Sensory Saturdays',"Low lighting and reduced sound in the galleries, noise-canceling headphones, weighted lap pads, soft seating, sensory-friendly art materials",,"The museum opens an hour before public hours for a quiet, low-stimulation art morning built for autistic children and their families. Galleries run with dimmed lighting and lowered sound, and the education team provides headphones, weighted lap pads and adapted art materials for a hands-on project. RSVP is required and space is capped.",https://nsuartmuseum.org/sensory-saturdays/,HIGH,"Date and venue both from the museum's own dedicated Sensory Saturdays program page, which prints October 10, 2026 as the upcoming date in body copy. October 10, 2026 does fall on a Saturday, which is a consistent cross-check. Registration opens one month before each date and closes 5 PM the Friday prior. Caveat: a third-party roundup describes the series as 'second Saturday of September, November, January and March', which does not match the museum's own October date - I used the museum's published date. NSU Art Museum is NOT in the exclusion set (Museum of Discovery and Science and Broward Center are the excluded Fort Lauderdale entries). Fort Lauderdale is a saturated city but this is a distinct, strong, non-excluded program."
FALLoween Festival,2026-10-10,,9:00 AM - 12:00 PM,The Els Center of Excellence,18370 Limestone Creek Road,Jupiter,Palm Beach,FL,33458,Els for Autism Foundation,,,https://www.elsforautism.org/event/,https://runsignup.com/Race/FL/JUPITER/FALLoweenFestival,Free admission; suggested $10 per family donation,Y,social,autism-specific,All ages,N,,Sensory-friendly 'Haunted Hallway' entrance; event billed as sensory-inclusive throughout,,"Els for Autism runs a sensory-inclusive Halloween festival on its Jupiter campus. The morning includes a low-stimulation haunted hallway, a costume contest and carnival-style games and activities for families of autistic children. Admission is free with a suggested family donation supporting the foundation.",https://runsignup.com/Race/FL/JUPITER/FALLoweenFestival,HIGH,"Date came from the RunSignup registration page Els for Autism operates for this event, cross-listed on the foundation's own events archive at elsforautism.org/event/. Els for Autism is not in the exclusion set and this is a standalone festival, not another date in a listed series. Jupiter (Palm Beach County) sits just south of the Treasure Coast lane."
Sensory Saturday Playdate at FAAST,2026-10-10,,11:30 AM - 12:30 PM,FAAST (Florida Alliance for Assistive Services and Technology) sensory play space,,Tallahassee,Leon,FL,32310,Infinite Spectrum Foundation,contact@is-foundation.org,(448) 500-3126,https://infinitespectrumfoundation.org/event/sensory-saturday-playdate-at-faast/,,,,social,autism-specific,,N,,Access to FAAST's dedicated sensory play space,,"Infinite Spectrum Foundation brings families to FAAST's sensory play space in Tallahassee for an hour of unstructured play and peer connection. Staff also walk parents through FAAST's assistive technology services, including device loans, demonstrations, training and financing options. It doubles as a social outing and a practical introduction to assistive tech resources.",https://infinitespectrumfoundation.org/event/sensory-saturday-playdate-at-faast/,HIGH,"Date and time came from the event detail page on the foundation's own site, which prints 'Saturday, October 10, 2026, 11:30 AM - 12:30 PM' with the year stated; October 10, 2026 is a Saturday. UNCERTAIN: the page gives only 'Tallahassee, Florida, FL 32310' for the venue with no street address, and publishes no registration link, cost or age range - those fields are left blank rather than filled in from elsewhere. The 32310 zip and the organizer's own address (914 Railroad Ave. Suite 22) both appear on the page."
MARC 60th Anniversary Party and Annual Board Meeting,2026-10-13,,6:00 PM - 9:00 PM,Horace O'Bryant School Cafetorium,,Key West,Monroe,FL,,Monroe Association for ReMARCable Citizens (MARC House),info@marchouse.org,,https://marchouse.org/upcoming-events,,,,social,disability-general,All ages,N,,,,"MARC House, the Florida Keys' longtime service provider for adults with intellectual and developmental disabilities, marks its 60th year with an evening celebration in Key West. The gathering doubles as the organization's annual board meeting and brings together clients, families, staff and members. It is one of very few dated disability-community events published in Monroe County this fall.",https://marchouse.org/upcoming-events,MEDIUM,"Date, time, venue and attendee description came from MARC House's own Upcoming Events page. MEDIUM because the page prints only the venue name - no street address or ZIP - so those fields are left empty rather than filled from memory. MARC's same page also lists a Community Yard Sale (Sept 26, 8am-12pm, $15 vendor fee) and a client-run Lemonade Stand (Aug 28, 10am-1pm); both were left out as general fundraisers rather than programming families would attend. Their Tour de Keys charity ride is Nov 21, 2026, just past the window."
Navegando Juntos (Miramar),2026-10-14,,11:00 AM - 12:00 PM,"CARD Miramar Office, 3rd Floor",2050 Civic Center Place,Miramar,Broward,FL,33025,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),mxh1833@miami.edu,954-262-7778,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (families of adolescents and adults),Y,"Alternating months at the Miramar office, 11:00 am - 12:00 pm",,,"The Broward County sessions of UM-NSU CARD's Spanish-language transition group for families of autistic adolescents and adults. Meetings focus on planning for adulthood, including services, independence, and next steps after school. Participants must be registered CARD clients.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu, which splits this series by location. Miramar published dates: Aug 12, Oct 14 and Dec 2, 2026. The only Miramar date inside the 2026-08-20..2026-11-18 window is Oct 14, 2026 (Aug 12 already passed, Dec 2 is beyond the window). The Miami Lakes sessions are returned as a separate row because they are a different city and county. Registration is by contacting Maria Henao at 954-262-7778 / mxh1833@miami.edu -- no registration page published. Cost not stated."
AdvoCan Series - Quarterly Caregiver Support Session (October),2026-10-15,,6:00 PM,Virtual (Zoom) - hosted by Loveland Center,157 S Havana Rd,Venice,Sarasota,FL,34292,Loveland Center,,,https://lovelandcenter.org/event/advocan-series-oct-2026/,https://us02web.zoom.us/j/86831933664?pwd=N0w0ek1icmRkT0EvclVDZWhZSkdZdz09,Free,Y,support-group,caregiver-training,Adults,Y,"Third Thursday of each quarter, 6:00 PM",,,"Free quarterly Zoom session run by Loveland Center to support caregivers of individuals with intellectual and developmental disabilities. Sessions rotate through topics from practical support strategies to caregiver self-care; the October topic was listed as to be announced at the time of checking. Zoom meeting ID 868 3193 3664, passcode 821261.",https://lovelandcenter.org/event/advocan-series-oct-2026/,HIGH,"Date, time, free cost, recurrence pattern and Zoom link all printed on Loveland Center's own event detail page (slug itself reads 'advocan-series-oct-2026'). This is a VIRTUAL event with no physical venue; the address/city/county fields carry Loveland Center's Venice campus as the host organization's location. The next published occurrence after this one is Jan 21, 2027, which is outside the window. Topic was still 'To Be Announced' on the page."
